Designator,Footprint,Quantity,Value,LCSC Part #
AE1,NFC Anenna,1,NFC_ANT,DNP
AE2,Texas_SWRA117D_2.4GHz_Left,1,2.4GHz ANT,DNP
BT1,Keystone5220_AA,1,Battery_Cell,DNP
"C1, C10, C15, C16, C27, C28",805,6,100nF,C49678
"C11, C12",603,2,30p,C1658
"C13, C14",603,2,150p,C22399613
C17,805,1,2.2uF,C377773
C18,805,1,4.7uF,C1779
C19,603,1,100nF,C14663
"C2, C3",805,2,20pF,DNP
C20,603,1,1uF,C15849
"C21, C22",603,2,TBD,DNP
"C23, C24",805,2,10uF,C15850
C25,805,1,1nF,C46653
"C26, C29",805,2,1uF,C28323
C30,805,1,4.7nF,C1744
"C4, C7",603,2,10n,C57112
"C5, C6",603,2,100p,C576835
"C8, C9",603,2,24p,C107044
D1,SOD-123,1,D_Schottky,C8598
J1,USB_C_Receptical-Jing,1,USB_C_Plug_USB2.0,C47345355
J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL,DNP
"J3, J4, J5, J6",PinHeader_1x02_P1.00mm_Vertical,4,Conn_01x02,DNP
J8,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Speaker,C7433453
J9,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,DNP
"L1, L2",603,2,1uH,C711163
L3,1008,1,10uH,C5289273 
L4,603,1,1uH,DNP
"Q1, Q2",SOT-23,2,PMOS,CJ3405
R1,603,1,1k,C21190
R10,805,1,1K,C17513
R2,603,1,2k,C22975
"R3, R4",603,2,2R,C22977
"R6, R7",603,2,0R,DNP
R5,805,1,100k,C149504
"R8, R9",805,2,30K,C17621
RN1,R_Array_Convex_4x0603,1,5.1k,C458639
SW1,TS3315A,1,BOOT,C2905041
"SW2, SW3",TS3315A,2,RST,C2905041
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint_Small,DNP
"U1, U2, U3, U4",SK6812SIDE-A-RVS,4,SK6812_Side,C5378737
U5,QFN-48-1EP_5x5mm_P0.35mm_EP3.7x3.7mm,1,CH585M,C42381469
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,MSOP-8_3x3mm_P0.65mm,1,NS4150B,C189961
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C32346
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz ±10ppm 12pF,C19723366
