Designator,Mid X,Mid Y,Rotation,Layer
AE1,151.8,-84.63,90.0,top
AE2,154.15,-133.3,180.0,top
ANT1,150.8,-128.0,180.0,top
BT1,153.5976,-114.0976,180.0,top
C1,154.4,-104.45,180.0,top
C10,160.1,-103.95,90.0,top
C11,132.0,-101.75,0.0,top
C12,141.3,-101.75,0.0,top
C13,168.7,-101.75,0.0,top
C14,178.95,-101.75,0.0,top
C15,137.5,-124.7,270.0,top
C16,144.5,-123.625,270.0,top
C17,146.1,-123.625,270.0,top
C19,180.4,-116.8,0.0,top
C2,149.2,-104.45,180.0,top
C20,180.4,-118.4,0.0,top
C21,167.1125,-122.6,0.0,top
C22,167.125,-124.875,180.0,top
C23,170.725,-120.275,180.0,top
C24,164.125,-125.475,90.0,top
C27,160.1,-112.3,0.0,top
C28,158.45,-117.45,0.0,top
C29,153.25,-119.75,270.0,top
C3,155.2,-102.05,90.0,top
C30,156.8,-109.0,45.0,top
C4,148.4,-102.025,90.0,top
C5,154.375,-99.65,180.0,top
C6,149.175,-99.65,180.0,top
C7,154.375,-97.85,180.0,top
C8,149.2,-97.85,180.0,top
C9,161.475,-101.25,180.0,top
D1,130.5,-129.3,180.0,top
DA1,137.1625,-111.95,0.0,top
F1,128.3,-121.3,270.0,top
F2,132.1,-107.7,0.0,top
FB1,130.3,-120.4,270.0,top
H1,123.5,-93.75,180.0,bottom
H2,184.0,-93.75,180.0,bottom
H3,183.75,-124.75,180.0,bottom
H4,123.75,-123.75,180.0,bottom
J1,166.75,-107.0,180.0,top
J2,148.4,-115.0,180.0,top
J3,147.5,-111.75,0.0,top
J4,149.2,-110.2,0.0,top
J5,137.1,-118.14,180.0,top
J8,177.0,-112.0,270.0,top
JP1,155.1,-92.05,90.0,top
JP2,148.4,-92.05,90.0,top
L1,154.6,-106.95,45.0,top
L2,149.0,-106.95,135.0,top
L3,160.1,-110.1,180.0,top
L4,155.3,-122.5,270.0,top
L5,141.5,-121.6,0.0,top
Q1,135.9,-128.5,270.0,top
Q2,133.2,-125.25,180.0,top
R1,162.2,-103.95,270.0,top
R10,163.525,-122.575,0.0,top
R11,132.5,-110.8,0.0,top
R12,133.25,-116.3,0.0,top
R13,138.9,-128.1,90.0,top
R14,141.2,-127.4,0.0,top
R2,158.0,-101.25,180.0,top
R3,155.1,-95.375,90.0,top
R4,148.4,-95.35,90.0,top
R5,128.5,-126.6,0.0,top
R7,155.3,-131.4,270.0,top
R8,170.7125,-122.6,0.0,top
R9,170.725,-124.875,0.0,top
RGB1,129.725,-98.548222,180.0,top
RGB2,139.975,-98.548222,180.0,top
RGB3,167.95,-98.548222,180.0,top
RGB4,178.1,-98.548222,180.0,top
SW1,143.8,-116.25,0.0,top
SW2,143.8,-110.0,0.0,top
SW3,173.0,-105.6,0.0,top
TP1,152.8,-108.95,0.0,top
TP2,150.8,-108.95,0.0,top
TP3,155.3,-118.6,270.0,top
TP4,133.5,-105.5,270.0,top
U1,153.25,-114.075,270.0,top
U2,176.3125,-120.8,270.0,top
USB1,127.25,-113.395,270.0,top
VR1,140.5,-124.7,0.0,top
Y1,149.9,-119.9,0.0,top
Y2,160.8,-115.0,180.0,top
