Designator,Mid X,Mid Y,Rotation,Layer
AE1,151.8,-84.63,90.0,top
BT1,146.75,-127.52,180.0,top
BZ1,168.75,-125.25,0.0,top
C1,130.95,-101.75,0.0,top
C10,141.45,-101.75,0.0,top
C11,154.375,-99.65,180.0,top
C12,149.175,-99.65,180.0,top
C13,154.375,-97.85,180.0,top
C14,149.2,-97.85,180.0,top
C15,168.7,-101.75,0.0,top
C16,178.95,-101.75,0.0,top
C17,158.6,-108.5,0.0,top
C18,162.5,-110.5,0.0,top
C19,158.5,-117.0,0.0,top
C2,133.35,-115.525,270.0,top
C20,153.25,-119.75,270.0,top
C21,156.3,-120.1,0.0,top
C22,156.2825,-124.9,0.0,top
C23,137.5,-129.3,90.0,top
C24,126.5,-128.75,270.0,top
C3,133.25,-111.225,90.0,top
C4,160.1,-103.95,90.0,top
C5,154.4,-104.45,180.0,top
C6,149.2,-104.45,180.0,top
C7,161.475,-101.25,180.0,top
C8,155.2,-102.05,90.0,top
C9,148.4,-102.025,90.0,top
D1,140.0,-126.0,270.0,top
D2,124.65,-99.0,0.0,top
D3,135.0,-99.0,0.0,top
D4,173.25,-99.0,0.0,top
D5,183.25,-99.0,0.0,top
H1,123.5,-93.75,180.0,bottom
H2,184.0,-93.75,180.0,bottom
H3,183.75,-124.75,180.0,bottom
H4,123.75,-123.75,180.0,bottom
J1,127.25,-113.395,270.0,top
J2,150.875,-126.625,180.0,top
J3,166.75,-107.0,180.0,top
J4,148.4,-115.0,180.0,top
J5,147.5,-111.75,0.0,top
J6,149.2,-110.2,0.0,top
J7,137.1,-119.49,180.0,top
L1,154.6,-106.95,45.0,top
L2,149.0,-106.95,135.0,top
L3,158.65,-110.5,180.0,top
L4,155.5,-122.5,270.0,top
Q1,143.25,-128.1875,270.0,top
Q2,143.25,-123.9375,270.0,top
R1,162.2,-103.95,270.0,top
R2,158.0,-101.25,180.0,top
R3,155.1,-95.375,90.0,top
R4,148.4,-95.35,90.0,top
R5,143.3375,-131.75,0.0,top
R7,155.3,-129.0,270.0,top
RN1,130.8,-105.2,180.0,top
RN2,139.05,-105.15,180.0,top
RN3,175.3,-106.9,180.0,top
SW1,143.8,-116.25,0.0,top
SW2,143.8,-110.0,0.0,top
SW3,167.75,-116.5,180.0,top
U1,129.725,-98.548222,0.0,top
U2,139.975,-98.548222,0.0,top
U3,167.95,-98.548222,0.0,top
U4,178.1,-98.548222,0.0,top
U5,153.25,-114.075,270.0,top
U6,132.25,-127.0,270.0,top
Y1,160.25,-113.25,180.0,top
Y2,149.9,-119.9,0.0,top
