Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C19, C20, C3, C4, C7",805,8,100nF,
"C12, C22, C23",805,3,22uF,
"C14, C2, C6, C9",805,4,10uF,
"C15, C16",805,2,20pF,
"C18, C5, C8",805,3,1uF,
C21,805,1,47pF,
D1,805,1,D_Schottky,
"D10, D11, D12, D13, D2, D3, D4, D5, D6, D7, D8, D9",FM-3510RGBA-SG_RGB,12,APFA3010,
D14,MHS171CRCT_side_led,1,RED,
J1,1016_2AA,1,AA Batteries,
J10,PinHeader_1x05_P2.54mm_Vertical,1,Prog,
J11,USB_C_Receptical-Jing,1,USB_C_Plug_USB2.0,
J12,CMS-151103-088SP_speaker,1,Speaker,
"J2, J4, J7",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Odd_Even,
J3,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Speaker,
J5,PinHeader_1x08_P1.00mm_Vertical,1,Conn_01x08,
"J6, J8",Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04,
J9,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper Open,
"JP2, JP3, JP4",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,3,Jumper Bridged,
"JP5, JP6",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,Jumper_2_Small_Open,
L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,1,2.2uH,
"Q1, Q2",SOT-23,2,PMOS,
"R1, R2, R4",805,3,100k,
"R3, R6, R7",805,3,22k,
R5,805,1,150,
"RN1, RN4",R_Array_Convex_4x0603,2,5.1k,
SW1,TS3315A,1,SW_SPST,
SW3,TS3315A,1,Lights,
SW4,TS3315A,1,Sound,
SW5,SK-3296S_switch,1,SW_SPDT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U3,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,1,AW20072QNR,
U4,LGA-12_2x2mm_P0.5mm,1,LIS2HH12,
U6,SOT-563,1,TPS562243,
